model,new_feature_name,mape_score_mean
linreg,heating_type_dummy,0.284986615
gbm,heating_type_dummy,0.284984851
MLPReg,heating_type_dummy,0.288835917
linreg,heating_type_citydummy,0.283079077
gbm,heating_type_citydummy,0.283083219
linreg,condition_dummy,0.268867509
gbm,condition_dummy,0.262158465
linreg,condition_mapping,0.280788372
gbm,condition_mapping,0.262592934
linreg,ker_code_from_postcode,0.283352498
gbm,ker_code_from_postcode,0.283371886
linreg,year_month_day,0.243049096
gbm,year_month_day,0.171415602
linreg,daynum,0.243046731
gbm,daynum,0.171603504
linreg,ori_dummy,0.32721175
gbm,ori_dummy,0.327235835
linreg,ori_dummy,0.235594515
gbm,ori_dummy,0.162599867
linreg,floor_from_other,0.231519415
gbm,floor_from_other,0.155110512
linreg,floor_from_median,0.231609221
gbm,floor_from_median,0.154942496

MLPReg,floor_from_median,0.21791185374280728
